Model,Location,Years_old,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Maruti,Bangalore,4,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,445000.0
Volkswagen,Delhi,10,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,265000.0
Hyundai,Pune,9,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,380000.0
Hyundai,Mumbai,6,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,465000.00000000006
Datsun,Pune,3,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,395000.0
Audi,Kolkata,10,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,980000.0000000001
Hyundai,Pune,11,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,270000.0
Maruti,Coimbatore,10,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,241000.0
Toyota,Ahmedabad,6,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,390000.0
Jaguar,Hyderabad,9,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,2400000.0
Mahindra,Delhi,8,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,575000.0
Hyundai,Kolkata,6,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,525000.0
Toyota,Mumbai,3,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,1925000.0
Maruti,Coimbatore,3,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,391000.0
Tata,Bangalore,6,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,215000.0
BMW,Mumbai,5,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,2075000.0
Honda,Delhi,10,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,335000.0
Toyota,Ahmedabad,6,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,1111000.0
Volvo,Bangalore,6,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,2000000.0
Nissan,Coimbatore,4,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,655000.0
BMW,Mumbai,11,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,700000.0
Maruti,Mumbai,4,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,750000.0
Mercedes-Benz,Pune,6,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,1675000.0
Hyundai,Kolkata,2,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,1095000.0
Maruti,Pune,9,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,245000.00000000003
Tata,Coimbatore,3,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,323000.0
Mahindra,Kolkata,6,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,775000.0
Mercedes-Benz,Kolkata,11,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,935000.0
Maruti,Pune,7,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,325000.0
Honda,Bangalore,13,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,525000.0
Volkswagen,Pune,5,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,725000.0
Maruti,Kochi,3,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,747000.0
Mahindra,Jaipur,4,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,1325000.0
Maruti,Coimbatore,4,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,581000.0
Maruti,Hyderabad,6,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,260000.0
Hyundai,Kochi,1,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,1150000.0
Maruti,Chennai,10,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,160000.0
BMW,Coimbatore,5,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,1722000.0
Honda,Mumbai,5,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,600000.0
Honda,Delhi,8,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,395000.0
Mercedes-Benz,Kochi,6,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,1795000.0
Honda,Kolkata,6,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,370000.0
Maruti,Kochi,4,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,543000.0
Toyota,Coimbatore,8,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,1349000.0
Chevrolet,Pune,6,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,285000.0
Skoda,Chennai,7,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,475000.0
Maruti,Kochi,2,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,990000.0
BMW,Mumbai,6,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,2650000.0
Audi,Coimbatore,5,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,2332000.0
Maruti,Chennai,4,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,625000.0
Skoda,Coimbatore,4,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,986000.0
Skoda,Pune,8,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,850000.0
Hyundai,Kochi,1,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,423000.00000000006
Volkswagen,Jaipur,8,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,350000.0
Datsun,Kolkata,4,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,250000.0
Honda,Kolkata,7,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,239000.0
Mercedes-Benz,Delhi,7,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,1125000.0
Honda,Kochi,5,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,711000.0
Toyota,Ahmedabad,4,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,1090000.0
Maruti,Ahmedabad,3,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,620000.0
Mahindra,Mumbai,8,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,790000.0
Ford,Kochi,6,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,442000.0
Toyota,Mumbai,8,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,1350000.0
Volkswagen,Chennai,7,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,625000.0
Ford,Jaipur,10,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,210000.0
BMW,Mumbai,5,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,4500000.0
Mercedes-Benz,Coimbatore,3,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,3365999.9999999995
Honda,Bangalore,8,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,365000.0
Hyundai,Delhi,7,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,275000.0
Mercedes-Benz,Bangalore,4,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,4250000.0
Hyundai,Kolkata,1,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,650000.0
Audi,Mumbai,8,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,1900000.0
Volkswagen,Mumbai,7,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,445000.0
Mini,Jaipur,3,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,2300000.0
Hyundai,Bangalore,6,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,835000.0
Audi,Mumbai,6,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,2295000.0
Chevrolet,Jaipur,8,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,150000.0
Skoda,Kochi,8,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,689000.0
Ford,Chennai,14,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,145000.0
BMW,Hyderabad,6,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,3350000.0
Chevrolet,Jaipur,13,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,125000.0
Volkswagen,Hyderabad,8,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,420000.0
Renault,Mumbai,5,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,675000.0
Mercedes-Benz,Bangalore,6,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,3200000.0
Maruti,Kochi,3,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,750000.0
Hyundai,Delhi,8,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,459999.99999999994
Hyundai,Kochi,3,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,404000.0
Mahindra,Kochi,4,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,1031000.0
Land,Coimbatore,2,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,5576000.0
Ford,Chennai,10,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,260000.0
Maruti,Mumbai,4,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,850000.0
Honda,Kolkata,6,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,350000.0
Hyundai,Jaipur,5,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,355000.0
Honda,Kolkata,7,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,325000.0
Skoda,Hyderabad,12,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,450000.0
Renault,Delhi,6,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,535000.0
Mahindra,Chennai,3,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,650000.0
Maruti,Mumbai,4,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,900000.0
Hyundai,Kochi,4,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,600000.0
Skoda,Jaipur,11,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,275000.0
Tata,Pune,10,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,150000.0
Audi,Delhi,5,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,1989999.9999999998
Skoda,Mumbai,6,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,1000000.0
Toyota,Delhi,6,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,300000.0
Mercedes-Benz,Kochi,6,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,1196000.0
Honda,Kolkata,7,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,325000.0
Hyundai,Jaipur,8,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,475000.0
Renault,Mumbai,6,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,595000.0
Hyundai,Delhi,5,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,815000.0
Maruti,Mumbai,4,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,422000.0
Mercedes-Benz,Kolkata,10,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,1050000.0
Audi,Delhi,8,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,4500000.0
Hyundai,Pune,8,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,290000.0
Skoda,Mumbai,3,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,890000.0
Skoda,Hyderabad,3,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,2600000.0
Hyundai,Coimbatore,2,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,822000.0000000001
Honda,Kolkata,6,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,350000.0
Maruti,Chennai,16,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,125000.0
Mahindra,Hyderabad,7,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,370000.0
Mercedes-Benz,Coimbatore,2,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,3940999.9999999995
Maruti,Kolkata,7,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,265000.0
Nissan,Coimbatore,5,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,892000.0
Mini,Kochi,3,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,3567000.0
Tata,Jaipur,13,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,85000.0
Chevrolet,Kochi,4,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,332000.0
Volkswagen,Mumbai,8,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,360000.0
Maruti,Hyderabad,4,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,680000.0
Ford,Kolkata,8,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,250000.0
Toyota,Kochi,1,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,1964000.0
Hyundai,Mumbai,9,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,700000.0
Honda,Kolkata,9,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,387000.0
Hyundai,Kochi,2,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,627000.0
Mercedes-Benz,Kochi,5,55980,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,1812000.0
Chevrolet,Mumbai,7,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,265000.0
Hyundai,Kochi,5,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,720000.0
Toyota,Coimbatore,5,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,1430000.0
Maruti,Chennai,7,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,690000.0
Toyota,Mumbai,6,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,1075000.0
Honda,Kochi,4,33915,Petrol,Manual,First,17.8,1497.0,117.3,5.0,809000.0
BMW,Ahmedabad,6,82002,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,1850000.0
Hyundai,Mumbai,3,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,475000.0
Maruti,Chennai,4,34000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,844999.9999999999
Skoda,Kolkata,8,55000,Diesel,Manual,First,20.5,1598.0,103.6,5.0,350000.0
Hyundai,Kochi,14,160538,Diesel,Manual,First,13.1,1493.0,82.0,5.0,180000.0
Volkswagen,Jaipur,6,60000,Diesel,Manual,Second,19.91,1498.0,103.6,5.0,370000.0
Honda,Coimbatore,3,49575,Petrol,Manual,First,18.7,1199.0,88.7,5.0,717000.0
Hyundai,Jaipur,10,83000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,175000.0
Hyundai,Kochi,2,51346,Diesel,Automatic,First,16.38,1995.0,183.0,5.0,2199000.0
Toyota,Pune,3,43000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,1864999.9999999998
Maruti,Jaipur,9,35000,Petrol,Manual,Third,19.7,796.0,35.0,5.0,185000.0
Maruti,Coimbatore,3,27872,Petrol,Manual,Second,20.4,1197.0,81.8,5.0,595000.0
Hyundai,Mumbai,6,16514,Petrol,Manual,First,18.9,1197.0,82.0,5.0,375000.0
Maruti,Pune,8,120000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,375000.0
Hyundai,Hyderabad,12,143275,Diesel,Manual,First,22.0,1582.0,126.2,5.0,260000.0
Hyundai,Mumbai,10,52000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,280000.0
Mercedes-Benz,Coimbatore,3,29819,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,6129000.0
Mercedes-Benz,Bangalore,6,57000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,1800000.0
Maruti,Hyderabad,6,88500,Diesel,Manual,First,23.2,1248.0,73.94,5.0,434999.99999999994
Hyundai,Bangalore,4,28000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,1375000.0
Maruti,Pune,10,67000,Petrol,Manual,First,19.0,998.0,66.1,5.0,200000.0
Renault,Delhi,4,26000,Diesel,Manual,First,19.64,1461.0,108.45,5.0,1000000.0
Fiat,Delhi,10,120000,Diesel,Manual,First,17.8,1248.0,76.0,5.0,165000.0
BMW,Coimbatore,3,51982,Diesel,Automatic,First,16.55,2993.0,258.0,5.0,4577000.0
Hyundai,Bangalore,10,36000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,325000.0
Toyota,Pune,4,47000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,1280000.0
Maruti,Mumbai,18,60000,Petrol,Manual,Third,17.3,993.0,60.0,5.0,55000.00000000001
Maruti,Hyderabad,2,31025,Diesel,Manual,First,28.4,1248.0,74.0,5.0,715000.0
Mahindra,Pune,7,105000,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,700000.0
Tata,Pune,3,121900,Diesel,Manual,First,22.95,1248.0,74.0,5.0,375000.0
Ford,Mumbai,3,22695,Petrol,Manual,First,18.88,999.0,123.24,5.0,850000.0
Maruti,Jaipur,8,73000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,434999.99999999994
Maruti,Kochi,4,32227,Petrol,Manual,First,22.74,796.0,47.3,5.0,326000.0
Honda,Jaipur,9,55000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,421000.0
Audi,Kochi,2,11287,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,7036000.0
Skoda,Mumbai,11,48000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,295000.0
Hyundai,Kochi,8,54308,Petrol,Manual,First,17.1,1591.0,121.3,5.0,428000.0
Honda,Jaipur,11,78442,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,357000.0
Hyundai,Kolkata,7,46000,Diesel,Manual,First,21.9,1396.0,88.8,5.0,311000.0
Hyundai,Coimbatore,6,45051,Petrol,Automatic,First,15.0,1396.0,98.6,5.0,596000.0
Volkswagen,Hyderabad,9,69000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,470000.0
Honda,Ahmedabad,6,49000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,690000.0
Tata,Pune,2,45000,Diesel,Manual,First,22.95,1248.0,74.0,5.0,525000.0
BMW,Pune,5,64000,Diesel,Automatic,First,18.48,1995.0,177.0,5.0,2800000.0
Maruti,Delhi,11,60000,Petrol,Manual,First,18.9,1061.0,67.0,5.0,135000.0
Honda,Delhi,5,62178,Petrol,Manual,First,18.2,1199.0,88.7,5.0,484999.99999999994
Volkswagen,Coimbatore,8,58006,Diesel,Manual,First,15.0,1896.0,105.0,5.0,670000.0
